Name,LastName,SSN,BCN,Course1,Course2,Course3,Course4,Course5
Cherry,Riley,4902341852,67956,18,20,3,13,11
Charlie,Richards,1078758059,91952,15,6,8,8,18
Miranda,Rogers,5333255756,71182,6,6,1,3,19
Roland,Hill,2580094162,93031,9,4,19,12,3
Sydney,Roberts,5072954790,44750,14,8,16,9,7
Sienna,Dixon,1943298558,41748,14,12,20,10,2
Darcy,Miller,6788029822,23305,14,19,11,4,13
Olivia,Sullivan,6132454165,64250,19,5,19,13,8
Annabella,Wilson,4953634887,14941,15,8,14,6,18
Natalie,Mitchell,8162795725,75228,7,12,2,1,9
Frederick,Barnes,7452032624,80360,3,7,2,8,5
Blake,Craig,6370892764,63688,11,18,11,20,20
Owen,Roberts,4566011658,32521,17,1,2,11,14
Adele,Watson,3558945594,39475,13,1,11,14,19
Natalie,Perry,5427220737,60867,17,17,20,17,10
Kelvin,Phillips,9263960792,42525,9,16,16,7,1
Victor,Henderson,3459433373,86516,19,19,4,5,19
Arianna,Thomas,4660267034,18342,13,3,10,14,16
Ada,Perkins,6651006445,12277,12,8,14,14,12
Brooke,Jones,2678374576,45252,12,14,17,15,14
Edgar,Craig,4316324619,24792,17,10,13,2,8
Emily,Payne,9318074892,88676,8,15,15,8,10
Elian,Ellis,6377384608,81691,7,4,18,17,11
Arnold,Gray,8945855418,32228,1,3,11,3,2
Ned,Chapman,8160727804,51264,4,8,3,6,6
Natalie,Thompson,5488962288,42502,2,16,14,3,5
Justin,Andrews,2824268121,19334,10,18,17,2,4
Ryan,Campbell,6939817467,82799,20,18,8,12,11
Adrianna,Adams,1178315295,31888,12,3,13,12,3
Sam,Robinson,5260661337,36414,20,17,11,9,12
Heather,Phillips,1079327652,50476,5,2,20,3,4
Sam,Sullivan,1927804638,31967,14,14,20,6,17
Alina,Carroll,1519044227,90210,12,16,15,14,13
Lana,Sullivan,2833786393,39166,11,10,9,16,5
Kelsey,Wright,3725771708,63758,18,3,8,7,20
Ashton,Baker,8429147730,14992,15,3,9,12,15
Annabella,Phillips,8261941699,14599,10,7,14,9,19
Clark,Carroll,1249225171,73658,18,1,17,18,4
Lilianna,Andrews,7011958262,81884,16,7,4,14,6
Robert,Ellis,3571653012,93929,16,5,2,18,19
Amy,Barnes,7521964393,42004,12,19,14,11,2
Alfred,Ferguson,4252591124,36874,3,20,12,15,17
Blake,Murray,4394802454,63741,19,12,17,5,9
Alford,Barrett,9018022034,36497,18,15,20,1,9
Jenna,West,8208748491,45171,18,8,7,4,12
Lyndon,Hawkins,2145217454,68088,19,19,13,7,13
Brooke,Murphy,6213725715,45922,18,13,10,20,5
Julia,Fowler,8193750960,59873,16,18,6,13,7
Chelsea,Mitchell,2210653907,27484,14,7,15,9,11
Vivian,Russell,6281562821,99986,7,9,15,7,5
Catherine,Hill,1378523546,40802,5,20,5,8,13
Elise,Farrell,9203489034,81932,4,3,3,1,4
Maria,Lloyd,8980028588,67212,9,20,6,14,8
Sienna,Sullivan,3371105072,58219,5,8,9,20,3
Maya,Richardson,9953495174,25358,16,16,9,12,17
Ryan,Nelson,6632850370,65624,19,1,2,10,16
Mike,Hall,1884227855,35130,7,8,12,9,20
Sabrina,Perry,2729337646,58926,5,1,11,13,12
Miley,Richards,9994312068,99298,18,8,15,10,9
Dainton,Clark,9059497041,20756,8,18,11,14,4
Dainton,Richardson,2941512128,62274,8,3,5,1,11
Paige,Craig,4006569174,39146,10,3,6,4,11
George,Kelly,7837233010,10101,20,10,7,19,9
Joyce,Evans,6907771457,85369,11,14,19,19,6
Naomi,Farrell,2461748161,92443,12,17,2,6,16
Kelsey,Moore,3285968397,42304,13,17,10,10,8
Alisa,Williams,8005223990,61913,10,20,5,8,10
Oliver,Clark,7087303712,50032,18,13,14,17,3
William,Stevens,3043213325,18588,15,16,7,3,5
Justin,Harrison,5896020980,82058,12,16,12,19,19
Rebecca,Stevens,3957493590,33724,15,6,20,15,19
Chester,Turner,2087942400,34830,18,18,18,1,1
Byron,Carroll,4667253264,56361,6,17,13,1,10
Alfred,Spencer,6741647869,93100,1,20,19,17,18
Robert,Hill,2162931309,44789,10,3,11,17,16
Olivia,Dixon,8504929462,10536,7,10,7,16,4
Steven,Adams,2724069294,17351,6,1,13,11,4
Edith,Myers,5447312445,65001,6,7,17,3,17
Frederick,Davis,6260952073,55521,13,17,2,18,19
Charlie,Baker,2043406637,39072,15,16,6,14,16
Edwin,Gibson,1020474006,14997,11,10,2,4,10
Victoria,Hamilton,9623983417,67803,12,10,15,2,19
Eric,Thomas,6486406437,34452,11,8,10,2,13
Amber,Carroll,8605870841,53390,13,4,11,4,11
Ashton,Hill,3246092206,95359,15,19,16,9,20
Adelaide,Taylor,7726741898,90008,1,15,10,8,18
Amanda,Spencer,6250844167,71643,6,6,12,1,20
Chloe,Edwards,1343857540,33525,5,4,19,10,10
Miranda,Hall,4693195294,47037,5,2,19,7,19
Maya,Davis,1121740841,77053,18,2,7,9,1
Jared,Brooks,7603351863,67882,19,20,3,12,2
Jacob,Bennett,3803361226,50630,16,20,20,18,20
Isabella,Howard,4906079887,19132,10,1,1,4,18
Chelsea,Foster,7041715005,94317,17,4,18,18,9
Sarah,Robinson,3720218031,82634,20,15,4,15,20
Rebecca,Watson,1058664778,80427,6,15,6,6,7
Carl,Phillips,3749250742,71842,15,15,6,17,9
Mary,Gibson,2612668096,40535,18,17,12,15,2
Sam,Warren,5756127310,86646,1,7,15,16,16
Kelsey,Richards,9969659325,31377,11,18,13,15,12
